Percent water;Refractive index
0;1.35912
1;1.35952
2;1.35991
3;1.3603
4;1.36063
5;1.36092
6;1.36118
7;1.36141
8;1.36162
9;1.36181
10;1.36198
11;1.36213
12;1.36226
13;1.36239
14;1.36251
15;1.36261
16;1.36269
17;1.36276
18;1.36282
19;1.36287
20;1.3629
21;1.36293
22;1.36294
23;1.36294
24;1.36293
25;1.3629
26;1.36287
27;1.36283
28;1.36278
29;1.36272
30;1.36265
31;1.36257
32;1.36248
33;1.36238
34;1.36227
35;1.36216
36;1.36204
37;1.36191
38;1.36177
39;1.36162
40;1.36146
41;1.3613
42;1.36113
43;1.36094
44;1.36075
45;1.36055
46;1.36035
47;1.36014
48;1.35992
49;1.35969
50;1.35946
51;1.35921
52;1.35895
53;1.35867
54;1.35839
55;1.3581
56;1.3578
57;1.35749
58;1.35716
59;1.35683
60;1.35647
61;1.35612
62;1.35573
63;1.35534
64;1.35493
65;1.35451
66;1.35407
67;1.35361
68;1.35314
69;1.35264
70;1.35213
71;1.3516
72;1.35104
73;1.35047
74;1.34989
75;1.34927
76;1.34864
77;1.348
78;1.34734
79;1.34668
80;1.346
81;1.34531
82;1.34463
83;1.34394
84;1.34323
85;1.34251
86;1.3418
87;1.34109
88;1.34039
89;1.33969
90;1.33899
91;1.3383
92;1.33762
93;1.33694
94;1.33626
95;1.3356
96;1.33495
97;1.33432
98;1.33371
99;1.33311
100;1.33252
